question,answer
（四）双相障碍,症状标准：病情发作符合躁狂或抑郁发作标准，以前有相反的的临床相或混合发作。
（五）癫痫所致精神障碍,症状标准：以下各点综合评定，并应有精神病性症状。1.符合器质性精神障碍的诊断标准；2.有原发性癫痫的证据；3.精神障碍的发生及其病程与癫痫相关。
（六）精神发育迟滞,症状标准：以下各点综合评定，并应有精神病性症状。1.智商低下，智商在70以下，心理年龄低于实际年龄；2.社会适应能力不足，表现在个人生活能力和履行社会职责有明显缺陷；3.起病于18岁以前。
（七）血管性痴呆,症状标准：以下各点综合评定，并应有精神病性症状。1.符合器质性精神障碍的诊断标准；2.认知缺陷分布不均，某些认知功能受损明显，另一些相对保存，自知力可保持较好；3.人格相对完整，但有些病人的人格改变明显，如自我中心、偏执、缺乏控制力、淡漠，或易激惹；4.至少有下列1项局灶性脑损伤的证据：脑卒中史、单侧肢体痉挛性瘫痪、伸跖反射阳性，或假性球麻痹；5.病史、检查、或化验有脑血管病证据。
（八）抑郁症,症状标准：以心境低落为主，有或无幻觉、妄想，或者紧张综合征等精神病性症状并有下列4项。1.兴趣丧失、无愉快感；2.精力减退或疲乏感；3.精神运动性迟滞或激越；4.自我评价过低、自责，或有内疚感；5.联想困难或自觉思考能力下降；6.反复出现想死的念头或有自杀、自伤行为；7.睡眠障碍，如失眠、早醒，或睡眠过多；8.食欲降低或体重明显减轻；9.性欲减退。
十一、阿尔茨海默病,1.病程2年以上，半年以上的专科就诊病史（服药史）；2.简明精神病状态检查表（MMSE）文盲≤17分，小学≤20分，中学以上≤24分；3.脑CT或MRI报告提示脑部老年退行性改变或脑萎缩。
十二、耐多药结核病,"对INH和RFP 在内的两种以上抗结核药物产生耐药的结核病。
1.耐多药结核病（MDR-TB）：至少对异烟肼和利福平耐药
2.广泛耐药结核病（XDR-TB）：对任意一种氟喹诺酮类药物及对三种二线抗结核药物注射剂（卷曲霉素、卡那霉素和丁胺卡那霉素）中的至少一种耐药的耐多药结核病
3.利福平耐药结核病：通过表型或基因型的检测方法发现的对利福平耐药，可以同时耐受或者不耐其他药品。即包含利福平任意耐药，不论是否为利福平单耐药、利福平多耐药或广泛耐药。利福平耐药结核病疗程20-30个月，治疗的核心药物基本相同，费用都高。"
十三、脑血管意外后遗症,1.确诊脑血管意外的病史资料（专科医生诊治）；2.头颅CT、MRI报告单提示脑出血或脑梗死。3.有脑血管意外后引起神经功能缺损，如肢体偏瘫、生活不能自理、语言障碍智能障碍、甚至伴有意识障碍等。
十四、省规定的罕见病,戈谢病、渐冻症、苯丙酮尿症等凭民政部门备案表直接认定。
异地转诊人员备案（跨省）,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要备案”，找到“异地转诊人员”模块；第四步：按模块中的操作提示进行。
异地安置退休人员备案,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要备案”，找到“异地安置退休人员”模块；第四步：按模块中的操作提示进行。
异地长期居住人员备案,第一步：打开浙里办APP；第二步：屏幕上方搜索栏搜索“浙里医保”并点击打开，第三步：点击“我要备案”，找到“异地长住人员”模块；第四步：按模块中的操作提示进行。
常驻异地工作人员备案,第一步：登陆国家医保服务平台APP；第二步：点击打开“异地备案”模块；第三步：点击“异地就医备案申请”；第四步：先选择“为自己备案”或是“为他人备案”，备案类型选择“异地长期居住人员”，再按照操作提示进行。
零星报销代收代办业务,系统默认使用本人社会保障卡进行报销支付，如需选择其他银行卡的请使用省内开户银行卡，省外开户银行卡会导致报销支付失败
